"VariableName","Value","ValueLabel"
"State abbreviation (HD2018)","AL","Alabama"
"State abbreviation (HD2018)","AZ","Arizona"
"State abbreviation (HD2018)","AR","Arkansas"
"State abbreviation (HD2018)","CA","California"
"State abbreviation (HD2018)","CO","Colorado"
"State abbreviation (HD2018)","CT","Connecticut"
"State abbreviation (HD2018)","FL","Florida"
"State abbreviation (HD2018)","GA","Georgia"
"State abbreviation (HD2018)","ID","Idaho"
"State abbreviation (HD2018)","IL","Illinois"
"State abbreviation (HD2018)","IN","Indiana"
"State abbreviation (HD2018)","IA","Iowa"
"State abbreviation (HD2018)","KS","Kansas"
"State abbreviation (HD2018)","KY","Kentucky"
"State abbreviation (HD2018)","LA","Louisiana"
"State abbreviation (HD2018)","MD","Maryland"
"State abbreviation (HD2018)","MA","Massachusetts"
"State abbreviation (HD2018)","MI","Michigan"
"State abbreviation (HD2018)","MN","Minnesota"
"State abbreviation (HD2018)","MS","Mississippi"
"State abbreviation (HD2018)","MO","Missouri"
"State abbreviation (HD2018)","NE","Nebraska"
"State abbreviation (HD2018)","NV","Nevada"
"State abbreviation (HD2018)","NH","New Hampshire"
"State abbreviation (HD2018)","NJ","New Jersey"
"State abbreviation (HD2018)","NM","New Mexico"
"State abbreviation (HD2018)","NY","New York"
"State abbreviation (HD2018)","NC","North Carolina"
"State abbreviation (HD2018)","ND","North Dakota"
"State abbreviation (HD2018)","OH","Ohio"
"State abbreviation (HD2018)","OK","Oklahoma"
"State abbreviation (HD2018)","OR","Oregon"
"State abbreviation (HD2018)","PA","Pennsylvania"
"State abbreviation (HD2018)","SC","South Carolina"
"State abbreviation (HD2018)","SD","South Dakota"
"State abbreviation (HD2018)","TN","Tennessee"
"State abbreviation (HD2018)","TX","Texas"
"State abbreviation (HD2018)","UT","Utah"
"State abbreviation (HD2018)","VA","Virginia"
"State abbreviation (HD2018)","WA","Washington"
"State abbreviation (HD2018)","WV","West Virginia"
"State abbreviation (HD2018)","WI","Wisconsin"
"State abbreviation (HD2018)","WY","Wyoming"
"FIPS state code (HD2018)","1","Alabama"
"FIPS state code (HD2018)","4","Arizona"
"FIPS state code (HD2018)","5","Arkansas"
"FIPS state code (HD2018)","6","California"
"FIPS state code (HD2018)","8","Colorado"
"FIPS state code (HD2018)","9","Connecticut"
"FIPS state code (HD2018)","12","Florida"
"FIPS state code (HD2018)","13","Georgia"
"FIPS state code (HD2018)","16","Idaho"
"FIPS state code (HD2018)","17","Illinois"
"FIPS state code (HD2018)","18","Indiana"
"FIPS state code (HD2018)","19","Iowa"
"FIPS state code (HD2018)","20","Kansas"
"FIPS state code (HD2018)","21","Kentucky"
"FIPS state code (HD2018)","22","Louisiana"
"FIPS state code (HD2018)","24","Maryland"
"FIPS state code (HD2018)","25","Massachusetts"
"FIPS state code (HD2018)","26","Michigan"
"FIPS state code (HD2018)","27","Minnesota"
"FIPS state code (HD2018)","28","Mississippi"
"FIPS state code (HD2018)","29","Missouri"
"FIPS state code (HD2018)","31","Nebraska"
"FIPS state code (HD2018)","32","Nevada"
"FIPS state code (HD2018)","33","New Hampshire"
"FIPS state code (HD2018)","34","New Jersey"
"FIPS state code (HD2018)","35","New Mexico"
"FIPS state code (HD2018)","36","New York"
"FIPS state code (HD2018)","37","North Carolina"
"FIPS state code (HD2018)","38","North Dakota"
"FIPS state code (HD2018)","39","Ohio"
"FIPS state code (HD2018)","40","Oklahoma"
"FIPS state code (HD2018)","41","Oregon"
"FIPS state code (HD2018)","42","Pennsylvania"
"FIPS state code (HD2018)","45","South Carolina"
"FIPS state code (HD2018)","46","South Dakota"
"FIPS state code (HD2018)","47","Tennessee"
"FIPS state code (HD2018)","48","Texas"
"FIPS state code (HD2018)","49","Utah"
"FIPS state code (HD2018)","51","Virginia"
"FIPS state code (HD2018)","53","Washington"
"FIPS state code (HD2018)","54","West Virginia"
"FIPS state code (HD2018)","55","Wisconsin"
"FIPS state code (HD2018)","56","Wyoming"
"Sector of institution (HD2018)","1","Public, 4-year or above"
"Sector of institution (HD2018)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2018)","3","Private for-profit, 4-year or above"
"NCAA/NAIA conference number football (IC2018)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","369","Association of Independent Institutions"
"NCAA/NAIA conference number football (IC2018)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2018)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2018)","140","Central Intercollegiate Athletic Association"
"NCAA/NAIA conference number football (IC2018)","111","Conference USA"
"NCAA/NAIA conference number football (IC2018)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2018)","141","Division II Independents"
"NCAA/NAIA conference number football (IC2018)","367","Great American Conference"
"NCAA/NAIA conference number football (IC2018)","144","Great Lakes Intercollegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","371","Great Midwest Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","145","Great Lakes Valley Conference"
"NCAA/NAIA conference number football (IC2018)","213","Great Northwest Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","146","Gulf South Conference"
"NCAA/NAIA conference number football (IC2018)","147","Lone Star Conference"
"NCAA/NAIA conference number football (IC2018)","148","Mid-America Intercollegiate Athletic Association"
"NCAA/NAIA conference number football (IC2018)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2018)","121","Mid-Eastern Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","315","Mid-South Conference"
"NCAA/NAIA conference number football (IC2018)","370","Mountain East Conference"
"NCAA/NAIA conference number football (IC2018)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2018)","187","New Jersey Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","153","Northeast 10 Conference"
"NCAA/NAIA conference number football (IC2018)","155","Northern Sun Intercollegiate Conference"
"NCAA/NAIA conference number football (IC2018)","192","Old Dominion Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2018)","193","Pennsylvania Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","158","Pennsylvania State Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","159","Rocky Mountain Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","160","South Atlantic Conference"
"NCAA/NAIA conference number football (IC2018)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2018)","161","Southern Intercollegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2018)","163","West Virginia Intercollegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","342","Other"
"NCAA/NAIA conference number football (IC2018)","-2","Not applicable"
