college,college_scorecard,opeid,conference,division
Indiana Wesleyan University,Indiana Wesleyan University-Marion,182200,Mid-States Football Association,NAIA
Iowa Central Community College,Iowa Central Community College,186500,ICCAC,JC
Iowa State University,Iowa State University,186900,Big 12 Conference,NCAA FBS
Iowa Wesleyan University,Iowa Wesleyan University,187100,Upper Midwest Athletic Conference,NAIA
Iowa Western Community College,Iowa Western Community College,459800,ICCAC,JC
Itasca Community College,Itasca Community College,235600,Minnesota College Athletic Conference,JC
Itawamba Community College - Fulton Campus,Itawamba Community College,240900,MACCC,JC
Ithaca College,Ithaca College,273900,Liberty League,NCAA D3
Jackson State University,Jackson State University,241000,Southwestern Athletic Conference,NCAA FCS
Jacksonville State University,Jacksonville State University,102000,Ohio Valley Conference,NCAA FCS
James Madison University,James Madison University,372100,Colonial Athletic Association,NCAA FCS
John Carroll University,John Carroll University,305000,Ohio Athletic Conference,NCAA D3
Johns Hopkins University,Johns Hopkins University,207700,Centennial Conference,NCAA D3
Johnson C. Smith University,Johnson C Smith University,293600,Central Intercollegiate Athletic Association,NCAA D2
Jones County Junior College,Jones County Junior College,241100,MACCC,JC
Judson University,Judson University,170000,Mid-States Football Association,NAIA
Juniata College,Juniata College,327900,Centennial Conference,NCAA D3
Kalamazoo College,Kalamazoo College,227500,Michigan Intercollegiate Athletic Association,NCAA D3
Kansas State University,Kansas State University,192800,Big 12 Conference,NCAA FBS
Kansas Wesleyan University,Kansas Wesleyan University,192900,Kansas Collegiate Athletic Conference,NAIA
Kean University,Kean University,262200,New Jersey Athletic Conference,NCAA D3
Keiser University,Keiser University-West Palm Beach,2151912,The Sun Conference,NAIA
Kennesaw State University,Kennesaw State University,157700,Big South Conference,NCAA FCS
Kent State University,Kent State University at Kent,305100,Mid-American Conference,NCAA FBS
Kentucky Christian University,Kentucky Christian University,196500,Association of Independent Institutions,NAIA
Kentucky State University,Kentucky State University,196800,Southern Intercollegiate Athletic Conference,NCAA D2
Kentucky Wesleyan College,Kentucky Wesleyan College,196900,Great Midwest Athletic Conference,NCAA D2
Kenyon College,Kenyon College,306500,North Coast Athletic Conference,NCAA D3
Keystone College,Keystone College,328000,Eastern Collegiate Football Conference,NCAA D3
King's College - Pennsylvania,King's College,328200,Middle Atlantic Conference,NCAA D3
Knox College,Knox College,170400,Midwest Conference,NCAA D3
Kutztown University of Pennsylvania,Kutztown University of Pennsylvania,332200,Pennsylvania State Athletic Conference,NCAA D2
Lackawanna College,Lackawanna College,328300,NJCAA: Region XIX,JC
Lafayette College,Lafayette College,328400,Patriot League,NCAA FCS
LaGrange College,LaGrange College,157800,USA South Athletic Conference,NCAA D3
Lake Erie College,Lake Erie College,306600,Great Midwest Athletic Conference,NCAA D2
Lake Forest College,Lake Forest College,170600,Midwest Conference,NCAA D3
Lakeland University,Lakeland University,385400,Northern Athletics Collegiate Conference,NCAA D3
Lamar University,Lamar University,358100,Southland Conference,NCAA FCS
Lane College,Lane College,349900,Southern Intercollegiate Athletic Conference,NCAA D2
Langston University,Langston University,315700,SAC,NAIA
Lawrence Technological University,Lawrence Technological University,227900,Mid-States Football Association,NAIA
Lawrence University,Lawrence University,385600,Midwest Conference,NCAA D3
Lebanon Valley College,Lebanon Valley College,328800,Middle Atlantic Conferences,NCAA D3
Lehigh University,Lehigh University,328900,Patriot League,NCAA FCS
Lenoir-Rhyne University,Lenoir-Rhyne University,294100,South Atlantic Conference,NCAA D2
Lewis & Clark College,Lewis & Clark College,319700,Northwest Conference,NCAA D3
Liberty University,Liberty University,2053000,Division I-AA Independents,NCAA FBS
Limestone University,Limestone College,343600,Conference Carolinas,NCAA D2
Lincoln University - Missouri,Lincoln University,247900,Mid-America Intercollegiate Athletics Association,NCAA D2
Lincoln University Pennsylvania,Lincoln University,329000,Central Intercollegiate Athletic Association,NCAA D2
Lindenwood University,Lindenwood University,248000,Great Lakes Valley Conference,NCAA D2
Lindsey Wilson College,Lindsey Wilson College,197200,Mid-South Conference,NAIA
Linfield University,Linfield College-McMinnville Campus,319800,Northwest Conference,NCAA D3
Livingstone College,Livingstone College,294200,Central Intercollegiate Athletic Association,NCAA D2
Lock Haven University,Lock Haven University,332300,Pennsylvania State Athletic Conference,NCAA D2
Long Island University,Long Island University,275100,Northeast Conference,NCAA FCS
Loras College,Loras College,187300,American Rivers Conference,NCAA D3
Los Angeles Harbor College,Los Angeles Harbor College,122400,CCCAA,JC
Los Angeles Southwest College,Los Angeles Southwest College,704700,CCCAA,JC
Louisburg College,Louisburg College,294300,NJCAA: Region X,JC
Louisiana College,Louisiana College,200700,American Southwest Conference,NCAA D3
Louisiana State University (LSU),Louisiana State University and Agricultural & Mechanical College,201000,Southeastern Conference,NCAA FBS
Louisiana Tech University,Louisiana Tech University,200800,Conference USA,NCAA FBS
Luther College,Luther College,187400,American Rivers Conference,NCAA D3
Lycoming College,Lycoming College,329300,Middle Atlantic Conferences,NCAA D3
Lyon College,Lyon College,108800,American Midwest Conference,NAIA
Macalester College,Macalester College,235800,Midwest Conference,NCAA D3
Madonna University,Madonna University,228200,Wolverine-Hoosier Athletic Conference,NAIA
Manchester University,Manchester University,182000,Heartland Collegiate Athletic Conference,NCAA D3
Marian University - Indiana,Marian University,182100,Mid-States Football Association,NAIA
Marietta College,Marietta College,307300,Ohio Athletic Conference,NCAA D3
Marist College,Marist College,276500,Pioneer Football League,NCAA FCS
Mars Hill University,Mars Hill University,294400,South Atlantic Conference,NCAA D2
Marshall University,Marshall University,381500,Conference USA,NCAA FBS
Martin Luther College,Martin Luther College,236100,Upper Midwest Athletic Conference,NCAA D3
Maryville College,Maryville College,350500,USA South Athletic Conference,NCAA D3
Massachusetts Institute of Technology - MIT,Massachusetts Institute of Technology,217800,New England Women's & Men's Athletic Conference,NCAA D3
Mayville State University,Mayville State University,299300,North Star Athletic Association,NAIA
McDaniel College,McDaniel College,210900,Centennial Conference,NCAA D3
McKendree University,McKendree University,172200,Great Lakes Valley Conference,NCAA D2
McMurry University,McMurry University,359100,American Southwest Conference,NCAA D3
McNeese State University,McNeese State University,201700,Southland Conference,NCAA FCS
McPherson College,McPherson College,193300,Kansas Collegiate Athletic Conference,NAIA
Mercer University,Mercer University,158000,Southern Conference,NCAA FCS
Mercyhurst University,Mercyhurst University,329700,Pennsylvania State Athletic Conference,NCAA D2
Merrimack College,Merrimack College,212000,Northeast-10 Conference,NCAA FCS
Mesabi Range College,Mesabi Range College,400900,MCAC,JC
Methodist University,Methodist University,294600,USA South Athletic Conference,NCAA D3
Miami University,Miami University-Oxford,307700,Mid-American Conference,NCAA FBS
Michigan State University,Michigan State University,229000,Big Ten Conference,NCAA FBS
Michigan Technological University,Michigan Technological University,229200,Great Lakes Intercollegiate Athletic Conference,NCAA D2
MidAmerica Nazarene University,MidAmerica Nazarene University,703200,Heart of America Athletic Conference,NAIA
Middle Tennessee State University,Middle Tennessee State University,351000,Conference USA,NCAA FBS
Middlebury College,Middlebury College,369100,New England Small College Athletic Conference,NCAA D3
Midland University,Midland University,255300,Great Plains Athletic Conference,NAIA
Midwestern State University,Midwestern State University,359200,Lone Star Conference,NCAA D2
Miles College,Miles College,102800,Southern Intercollegiate Athletic Conference,NCAA D2
Millersville University of Pennsylvania,Millersville University of Pennsylvania,332500,Pennsylvania State Athletic Conference,NCAA D2
Millikin University,Millikin University,172400,College Conference of Illinois and Wisconsin,NCAA D3
Millsaps College,Millsaps College,241400,Southern Athletic Association,NCAA D3
Minnesota State Community & Technical College,Minnesota State Community and Technical College,554100,MCAC,JC
Minnesota State University - Mankato,Minnesota State University-Mankato,236000,Northern Sun Intercollegiate Conference,NCAA D2
Minnesota State University - Moorhead,Minnesota State University Moorhead,236700,Northern Sun Intercollegiate Conference,NCAA D2
Minnesota West Community & Technical College,Minnesota West Community and Technical College,526300,MCAC,JC
Minot State University,Minot State University,299400,Northern Sun Intercollegiate Conference,NCAA D2
Misericordia University,Misericordia University,324700,Middle Atlantic Conferences,NCAA D3
Mississippi College,Mississippi College,241500,Gulf South Conference,NCAA D2
Mississippi Delta Community College,Mississippi Delta Community College,241600,MACJC,JC
Mississippi Gulf Coast Community College,Mississippi Gulf Coast Community College,241700,Mississippi Association of Community College Conference,JC
Mississippi State University,Mississippi State University,242300,Southeastern Conference,NCAA FBS
Mississippi Valley State University,Mississippi Valley State University,242400,Southwestern Athletic Conference,NCAA FCS
Missouri Baptist University,Missouri Baptist University,754000,American Midwest Conference,NAIA
Missouri Southern State University,Missouri Southern State University,248800,Mid-America Intercollegiate Athletics Association,NCAA D2
Missouri State University,Missouri State University-Springfield,250300,Missouri Valley Conference,NCAA FCS
Missouri University of Science & Technology,Missouri University of Science and Technology,251700,Great Lakes Valley Conference,NCAA D2
Missouri Valley College,Missouri Valley College,248900,KCAC,NAIA
Missouri Western State University,Missouri Western State University,249000,Mid-America Intercollegiate Athletics Association,NCAA D2
Modesto Junior College,Modesto Junior College,124000,CCCAA,JC
Monmouth College,Monmouth College,172500,Midwest Conference,NCAA D3
Monmouth University,Monmouth University,261600,Big South Conference,NCAA FCS
Monroe College - New Rochelle,NA,NA,Northeast Football Conference,JC
Montana State University,Montana State University,253200,Big Sky Conference,NCAA FCS
Montana State University - Northern,Montana State University-Northern,253300,Cascade Collegiate Conference,NAIA
Montana Tech of the University of Montana,Montana Technological University,253100,Cascade Collegiate Conference,NAIA
Montclair State University,Montclair State University,261700,New Jersey Athletic Conference,NCAA D3
Moorpark College,Moorpark College,711500,Southern California Football Association,JC
Moravian College,Moravian College,330100,Landmark Conference ,NCAA D3
Morehead State University,Morehead State University,197600,Pioneer Football League,NCAA FCS
Morehouse College,Morehouse College,158200,Southern Intercollegiate Athletic Conference,NCAA D2
Morgan State University,Morgan State University,208300,Mid-Eastern Athletic Conference,NCAA FCS
Morningside College,Morningside College,187900,Great Plains Athletic Conference,NAIA
Mount St. Joseph University,Mount Saint Joseph University,303300,Heartland Collegiate Athletic Conference,NCAA D3
Muhlenberg College,Muhlenberg College,330400,Centennial Conference,NCAA D3
Murray State University,Murray State University,197700,Ohio Valley Conference,NCAA FCS
Muskingum University,Muskingum University,308400,Ohio Athletic Conference,NCAA D3
Nassau Community College,Nassau Community College,287300,North Eastern Athletic,JC
Navarro College,Navarro College,359300,NJCAA: Region XIV,JC
Nebraska Wesleyan University,Nebraska Wesleyan University,255500,Iowa Intercollegiate Athletic Conference,NCAA D3
New Mexico Highlands University,New Mexico Highlands University,265300,Rocky Mountain Athletic Conference,NCAA D2
New Mexico Military Institute,New Mexico Military Institute,265600,Western Junior College Athletic Conference,JC
New Mexico State University,New Mexico State University-Main Campus,265700,Independent,NCAA FBS
Newberry College,Newberry College,344000,South Atlantic Conference,NCAA D2
Nicholls State University,Nicholls State University,200500,Southland Conference,NCAA FCS
Nichols College,Nichols College,219700,Commonwealth Coast Football,NCAA D3
Norfolk State University,Norfolk State University,376500,Mid-Eastern Athletic Conference,NCAA FCS
North Carolina A&T State University,North Carolina A & T State University,290500,Mid-Eastern Athletic Conference,NCAA FCS
North Carolina Central University,North Carolina Central University,295000,Mid-Eastern Athletic Conference,NCAA FCS
North Carolina State University,North Carolina State University at Raleigh,297200,Atlantic Coast Conference,NCAA FBS
North Carolina Wesleyan College,North Carolina Wesleyan College,295100,USA South Athletic Conference,NCAA D3
North Central College,North Central College,173400,College Conference of Illinois and Wisconsin,NCAA D3
North Dakota State College of Science,North Dakota State College of Science,299600,"NJCAA, MON-DAK",JC
North Dakota State University,North Dakota State University-Main Campus,299700,Missouri Valley Conference,NCAA FCS
North Greenville University,North Greenville University,344100,Gulf South Conference,NCAA D2
North Park University,North Park University,173500,College Conference of Illinois and Wisconsin,NCAA D3
Northeast Mississippi Community College,Northeast Mississippi Community College,242600,MACJC,JC
Northeastern State University,Northeastern State University,316100,Mid-America Intercollegiate Athletics Association,NCAA D2
Northern Arizona University,Northern Arizona University,108200,Big Sky Conference,NCAA FCS
Northern Illinois University,Northern Illinois University,173700,Mid-American Conference,NCAA FBS
Northern Michigan University,Northern Michigan University,230100,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Northern State University,Northern State University,346600,Northern Sun Intercollegiate Conference,NCAA D2
Northwest Mississippi Community College,Northwest Mississippi Community College,242700,MACCC,JC
Northwest Missouri State University,Northwest Missouri State University,249600,Mid-America Intercollegiate Athletics Association,NCAA D2
Northwestern College - Iowa,Northwestern College,188300,Great Plains Athletic Conference,NAIA
Northwestern Oklahoma State University,Northwestern Oklahoma State University,316300,Great American Conference,NCAA D2
Northwestern State University of Louisiana,Northwestern State University of Louisiana,202100,Southland Conference,NCAA FCS
Northwestern University,Northwestern University,173900,Big Ten Conference,NCAA FBS
Northwood University - Michigan,Northwood University,407200,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Norwich University,Norwich University,369200,Great Northeast Athletic Conference,NCAA D3
Notre Dame College,Notre Dame College,308500,Mountain East Conference,NCAA D2
Oberlin College,Oberlin College,308600,North Coast Athletic Conference,NCAA D3
Ohio Dominican University,Ohio Dominican University,303500,Great Midwest Athletic Conference,NCAA D2
Ohio Northern University,Ohio Northern University,308900,Ohio Athletic Conference,NCAA D3
Ohio State University,Ohio State University-Main Campus,309000,Big Ten Conference,NCAA FBS
Ohio University,Ohio University-Main Campus,310000,Mid-American Conference,NCAA FBS
Ohio Wesleyan University,Ohio Wesleyan University,310900,North Coast Athletic Conference,NCAA D3
Oklahoma Baptist University,Oklahoma Baptist University,316400,Great American Conference,NCAA D2
Oklahoma Panhandle State University,Oklahoma Panhandle State University,317400,SAC,NAIA
Oklahoma State University,Oklahoma State University-Main Campus,317000,Big 12 Conference,NCAA FBS
Old Dominion University,Old Dominion University,372800,Conference USA,NCAA FBS
Olivet College,Olivet College,230800,Michigan Intercollegiate Athletic Association,NCAA D3
Olivet Nazarene University,Olivet Nazarene University,174100,Mid-States Football Association,NAIA
Orange Coast College,Orange Coast College,125000,"Orange Empire Conference, Mission Conference for football",JC
Oregon State University,Oregon State University,321000,Pacific-12 Conference,NCAA FBS
Ottawa University,Ottawa University-Ottawa,193700,Kansas Collegiate Athletic Conference,NAIA
Ottawa University - Arizona,Ottawa University-Phoenix,193701,GSAC,NAIA
Otterbein University,Otterbein University,311000,Ohio Athletic Conference,NCAA D3
Ouachita Baptist University,Ouachita Baptist University,110200,Great American Conference,NCAA D2
Pace University,Pace University,279100,Northeast-10 Conference,NCAA D2
Pacific Lutheran University,Pacific Lutheran University,378500,Northwest Conference,NCAA D3
Pacific University,Pacific University,321200,Northwest Conference,NCAA D3
Pasadena City College,Pasadena City College,126100,"Mission Football Conference, South Coast Conference",JC
Pearl River Community College,Pearl River Community College,243000,MACCC,JC
Penn State,Pennsylvania State University-Main Campus,332900,Big Ten Conference,NCAA FBS
Peru State College,Peru State College,255900,Heart of America Athletic Conference,NAIA
Pittsburg State University,Pittsburg State University,192600,Mid-America Intercollegiate Athletics Association,NCAA D2
Plymouth State University,Plymouth State University,259100,Little East Conference,NCAA D3
Point University,Point University,154700,Mid-South Conference,NAIA
Pomona-Pitzer Colleges,Pomona College,117300,Southern California Intercollegiate Athletic Conference,NCAA D3
Portland State University,Portland State University,321600,Big Sky Conference,NCAA FCS
Post University,Post University,140100,Central Atlantic Collegiate Conference (Division II),NCAA D2
Prairie View A & M University,Prairie View A & M University,363000,Southwestern Athletic Conference,NCAA FCS
Presbyterian College,Presbyterian College,344500,Big South Conference,NCAA FCS
Presentation College,Presentation College,346700,GPAC,NAIA
Princeton University,Princeton University,262700,Ivy League,NCAA FCS
Purdue University,Purdue University-Main Campus,182500,Big Ten Conference,NCAA FBS
Quincy University,Quincy University,174500,Great Lakes Valley Conference,NCAA D2
Randolph-Macon College,Randolph-Macon College,373300,Old Dominion Athletic Conference,NCAA D3
Reinhardt University,Reinhardt University,158900,Mid-South Conference,NAIA
Rensselaer Polytechnic Institute - RPI,Rensselaer Polytechnic Institute,280300,Liberty League,NCAA D3
Rhodes College,Rhodes College,351900,Southern Athletic Association,NCAA D3
Rice University,Rice University,360400,Conference USA,NCAA FBS
Ripon College,Ripon College,388400,Midwest Conference,NCAA D3
Robert Morris University - Pennsylvania,Robert Morris University,335900,Big South,NCAA FCS
Rochester Community & Technical College,Rochester Community and Technical College,237300,MCAC,JC
Rockford University,Rockford University,174800,Northern Athletics Collegiate Conference,NCAA D3
Rocky Mountain College,Rocky Mountain College,253400,Frontier Conference,NAIA
Roosevelt University,Roosevelt University,174900,Chicagoland Collegiate Athletic Conference,NAIA
Rose-Hulman Institute of Technology,Rose-Hulman Institute of Technology,183000,Heartland Collegiate Athletic Conference,NCAA D3
Rowan University,Rowan University,260900,New Jersey Athletic Conference,NCAA D3
Rutgers University,Rutgers University-New Brunswick,262900,Big Ten Conference,NCAA FBS
Sacramento City College,Sacramento City College,123300,CCCAA,JC
Sacred Heart University,Sacred Heart University,140300,Northeast Conference,NCAA FCS
Saddleback College,Saddleback College,891800,Southern California Football Association,JC
Saginaw Valley State University,Saginaw Valley State University,231400,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Saint Anselm College,Saint Anselm College,258700,Northeast-10 Conference,NCAA D2
Saint Augustine's University,Saint Augustine's University,296800,Central Intercollegiate Athletic Association,NCAA D2
Saint Francis University,Saint Francis University,336600,Northeast Conference,NCAA FCS
Saint John's University - Minnesota,Saint Johns University,237900,Minnesota Intercollegiate Athletic Conference,NCAA D3
Saint Vincent College - Pennsylvania,Saint Vincent College,336800,Presidents' Athletic Conference,NCAA D3
Saint Xavier University,Saint Xavier University,176800,Mid-States Football Association,NAIA
Salisbury University,Salisbury University,209100,New Jersey Athletic Conference,NCAA D3
Salve Regina University,Salve Regina University,341100,Commonwealth Coast Football,NCAA D3
Sam Houston State University,Sam Houston State University,360600,Southland Conference,NCAA FCS
Samford University,Samford University,103600,Southern Conference,NCAA FCS
San Bernardino Valley College,San Bernardino Valley College,127200,Southern California Football Association,JC
San Diego State University,University of California-San Diego,131700,Mountain West Conference,NCAA FBS
San Jose State University,San Jose State University,115500,Mountain West Conference,NCAA FBS
Santa Barbara City College,Santa Barbara City College,128500,Southern California Football Association,JC
Santa Rosa Junior College,Santa Rosa Junior College,128700,CCCAA,JC
Savannah State University,Savannah State University,159000,Southern Intercollegiate Athletic Conference,NCAA D2
Seton Hill University,Seton Hill University,336200,Pennsylvania State Athletic Conference,NCAA D2
Sewanee - The University of the South,The University of the South,353400,Southern Athletic Association,NCAA D3
Shaw University,Shaw University,296200,Central Intercollegiate Athletic Association,NCAA D2
Shenandoah University,Shenandoah University,373700,Old Dominion Athletic Conference,NCAA D3
Shepherd University,Shepherd University,382200,Pennsylvania State Athletic Conference,NCAA D2
Shippensburg University of Pennsylvania,Shippensburg University of Pennsylvania,332600,Pennsylvania State Athletic Conference,NCAA D2
Shorter University,Shorter University,159100,Gulf South Conference,NCAA D2
Siena Heights University,Siena Heights University,231600,Mid-States Football Association,NAIA
Simpson College,Simpson College,188700,Iowa Intercollegiate Athletic Conference,NCAA D3
Slippery Rock University,Slippery Rock University of Pennsylvania,332700,Pennsylvania State Athletic Conference,NCAA D2
Snow College,Snow College,367900,NJCAA,JC
South Carolina State University,South Carolina State University,344600,Mid-Eastern Athletic Conference,NCAA FCS
South Dakota School of Mines & Technology,South Dakota School of Mines and Technology,347000,Rocky Mountain Athletic Conference,NCAA D2
South Dakota State University,South Dakota State University,347100,Missouri Valley Conference,NCAA FCS
Southeast Missouri State University,Southeast Missouri State University,250100,Ohio Valley Conference,NCAA FCS
Southeastern Louisiana University,Southeastern Louisiana University,202400,Southland Conference,NCAA FCS
Southeastern Oklahoma State University,Southeastern Oklahoma State University,317900,Great American Conference,NCAA D2
Southeastern University,Southeastern University,152100,Sun Conference,NAIA
Southern Connecticut State University,Southern Connecticut State University,140600,Northeast-10 Conference,NCAA D2
Southern Illinois University Carbondale,Southern Illinois University-Carbondale,175800,Missouri Valley Conference,NCAA FCS
Southern Methodist University - SMU,Southern Methodist University,361300,American Athletic Conference,NCAA FBS
Southern Nazarene University,Southern Nazarene University,314900,Great American Conference,NCAA D2
Southern Oregon University,Southern Oregon University,321900,Cascade Collegiate Conference,NAIA
Southern University & A&M College,Southern University and A & M College,202500,Southwestern Athletic Conference,NCAA FCS
Southern Utah University,Southern Utah University,367800,Big Sky Conference,NCAA FCS
Southern Virginia University,Southern Virginia University,373800,Capital Athletic Conference,NCAA D3
Southwest Baptist University,Southwest Baptist University,250200,Great Lakes Valley Conference,NCAA D2
Southwest Minnesota State University,Southwest Minnesota State University,237500,Northern Sun Intercollegiate Conference,NCAA D2
Southwest Mississippi Community College,Southwest Mississippi Community College,243600,"MACCC, Region XXII",JC
Southwestern Assemblies of God University,Southwestern Assemblies of God University,361600,Central States Football League,NAIA
Southwestern College - Kansas,Southwestern College,194000,Kansas Collegiate Athletic Conference,NAIA
Southwestern Oklahoma State University,Southwestern Oklahoma State University,318100,Great American Conference,NCAA D2
Southwestern University,Southwestern University,362000,Southern Collegiate Athletic Conference,NCAA D3
Springfield College,Springfield College,221100,New England Women's & Men's Athletic Conference,NCAA D3
